               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10355,            0.042248,            0.039606,            0.027534,             0.67776,            0.072601,            0.018992,            0.072473,            0.044417,            0.036484,              0.0847,              0.0017,              0.0017
                   1,            0.070197,            0.041147,            0.034671,             0.19178,             0.21695,             0.13947,            0.033737,             0.08106,            0.032701,            0.033083,            0.068483,           0.0034827,           0.0034827
                   2,            0.074776,            0.030666,            0.031791,             0.17918,             0.40545,             0.20314,            0.064441,            0.077832,            0.025791,            0.029289,            0.052248,           0.0052475,           0.0052475
                   3,            0.077076,            0.028388,            0.027266,              0.2992,             0.50322,              0.2871,             0.10134,            0.078734,            0.029854,            0.023323,            0.035995,           0.0069946,           0.0069946
                   4,            0.069467,            0.024615,            0.019215,             0.19541,             0.61553,             0.26883,             0.11968,            0.070818,            0.029876,            0.019529,            0.019724,           0.0087238,           0.0087238
                   5,            0.066601,            0.023932,            0.013018,             0.61726,             0.67109,             0.64104,             0.20902,            0.070361,            0.029658,            0.018822,           0.0097525,           0.0097525,           0.0097525
                   6,            0.056155,            0.021897,           0.0098284,             0.63177,             0.74101,             0.70768,              0.3532,            0.059132,            0.023402,            0.010138,           0.0097525,           0.0097525,           0.0097525
                   7,            0.053216,            0.021373,            0.010036,             0.56952,             0.53749,             0.55509,             0.25173,            0.056231,            0.029225,            0.020813,            0.009703,            0.009703,            0.009703
                   8,            0.046723,            0.022885,           0.0078267,             0.74029,             0.80719,             0.79983,             0.38148,            0.045312,            0.025049,            0.015304,           0.0096535,           0.0096535,           0.0096535
                   9,            0.041707,            0.021748,           0.0069361,             0.87894,             0.84595,             0.90259,             0.46914,            0.038158,            0.023987,            0.010051,            0.009604,            0.009604,            0.009604
                  10,            0.039084,            0.021636,           0.0061306,             0.86332,             0.85802,             0.90159,             0.50553,            0.033797,            0.022004,            0.010401,           0.0095545,           0.0095545,           0.0095545
                  11,            0.036972,            0.021278,           0.0051756,             0.90974,             0.90163,             0.94855,             0.53512,            0.034153,            0.021103,           0.0072296,            0.009505,            0.009505,            0.009505
                  12,            0.036347,            0.019188,           0.0041981,             0.92924,             0.86258,             0.92387,             0.50426,             0.03784,            0.020163,            0.010304,           0.0094555,           0.0094555,           0.0094555
                  13,            0.035219,            0.020694,           0.0054176,             0.93862,             0.91327,              0.9529,              0.5335,            0.034288,             0.01953,            0.010144,            0.009406,            0.009406,            0.009406
                  14,            0.034364,            0.020825,           0.0043366,             0.90853,             0.86015,             0.92958,             0.53272,            0.035038,            0.020845,            0.010746,           0.0093565,           0.0093565,           0.0093565
                  15,             0.03514,            0.019876,           0.0060889,             0.92706,             0.91346,             0.93929,              0.5608,            0.032681,             0.01951,            0.010206,            0.009307,            0.009307,            0.009307
                  16,            0.034455,            0.019455,           0.0070661,             0.94753,             0.93932,             0.96112,             0.59266,            0.030349,            0.018832,            0.010252,           0.0092575,           0.0092575,           0.0092575
                  17,            0.033181,            0.020532,           0.0036812,              0.9312,             0.94021,             0.96245,             0.54401,            0.033592,            0.019129,           0.0073084,            0.009208,            0.009208,            0.009208
                  18,            0.032522,            0.019784,           0.0037759,             0.95516,             0.93707,             0.96529,             0.57585,            0.031174,            0.019163,           0.0064011,           0.0091585,           0.0091585,           0.0091585
                  19,            0.031687,            0.019581,           0.0034047,             0.94203,             0.92226,             0.96084,             0.56319,            0.031649,            0.019697,           0.0073858,            0.009109,            0.009109,            0.009109
                  20,            0.031967,            0.018368,           0.0034271,             0.91028,             0.88743,             0.94344,             0.54653,            0.032306,            0.020891,           0.0079185,           0.0090595,           0.0090595,           0.0090595
                  21,            0.030596,            0.022201,           0.0034813,             0.92969,             0.87449,             0.93484,             0.56477,            0.031937,            0.020334,            0.010997,             0.00901,             0.00901,             0.00901
                  22,            0.030559,            0.020155,           0.0032843,              0.9345,             0.92704,             0.96181,             0.56103,            0.032565,            0.019189,           0.0096148,           0.0089605,           0.0089605,           0.0089605
                  23,            0.029182,            0.019924,           0.0083047,             0.94194,             0.90414,             0.94754,             0.58661,            0.030811,            0.019693,            0.010201,            0.008911,            0.008911,            0.008911
                  24,            0.031596,            0.020972,           0.0031757,             0.91958,             0.83162,             0.92554,              0.5577,            0.030829,            0.020724,            0.017659,           0.0088615,           0.0088615,           0.0088615
                  25,            0.028791,            0.018411,           0.0031636,             0.92069,             0.92215,             0.95664,             0.57076,            0.032522,            0.019887,           0.0090354,            0.008812,            0.008812,            0.008812
                  26,            0.029605,            0.019231,           0.0034948,             0.93652,             0.91367,             0.96437,             0.59835,            0.030117,            0.019499,           0.0094629,           0.0087625,           0.0087625,           0.0087625
                  27,            0.028201,            0.020368,           0.0045683,             0.89608,             0.88382,              0.9238,              0.5539,            0.032948,            0.022047,           0.0084577,            0.008713,            0.008713,            0.008713
                  28,            0.028974,            0.018573,           0.0026655,             0.93528,               0.924,             0.96051,             0.56294,            0.032466,             0.01946,           0.0074458,           0.0086635,           0.0086635,           0.0086635
                  29,            0.027742,             0.01799,           0.0037832,             0.92646,             0.95963,             0.97147,             0.59775,            0.030247,             0.01929,           0.0066771,            0.008614,            0.008614,            0.008614
                  30,            0.026723,            0.017166,           0.0026282,             0.91488,             0.88974,             0.92389,             0.52091,            0.033693,            0.023676,           0.0087184,           0.0085645,           0.0085645,           0.0085645
                  31,            0.028351,             0.01716,            0.002579,              0.9446,              0.9471,             0.97085,             0.57125,            0.031832,            0.019922,           0.0064166,            0.008515,            0.008515,            0.008515
                  32,            0.027594,            0.018211,           0.0023435,             0.93882,             0.93343,             0.96825,             0.57249,            0.030977,            0.020056,           0.0061087,           0.0084655,           0.0084655,           0.0084655
                  33,            0.029315,            0.017675,           0.0036755,             0.92187,             0.93857,             0.95772,             0.55232,            0.034148,            0.019798,           0.0061483,            0.008416,            0.008416,            0.008416
                  34,            0.028597,             0.01827,           0.0028772,             0.92575,             0.91186,             0.95827,             0.54718,            0.032113,            0.019477,           0.0068201,           0.0083665,           0.0083665,           0.0083665
                  35,            0.027475,             0.01689,           0.0039618,             0.90444,             0.93937,             0.97247,              0.5835,            0.030428,            0.019087,           0.0084351,            0.008317,            0.008317,            0.008317
                  36,            0.025606,            0.017734,           0.0022188,             0.96145,             0.92761,             0.96205,             0.58353,            0.030925,            0.020229,           0.0071746,           0.0082675,           0.0082675,           0.0082675
                  37,            0.025952,            0.017943,             0.00346,             0.94813,             0.88162,             0.94564,             0.55292,            0.032923,            0.022726,           0.0094856,            0.008218,            0.008218,            0.008218
                  38,            0.026565,            0.017088,           0.0025172,             0.92154,             0.94022,             0.96348,             0.58006,            0.031012,            0.019947,           0.0077613,           0.0081685,           0.0081685,           0.0081685
                  39,            0.025869,            0.016655,           0.0021583,             0.95584,             0.90831,             0.96172,             0.57995,            0.031378,            0.019431,            0.011173,            0.008119,            0.008119,            0.008119
                  40,            0.026583,            0.018642,           0.0022022,             0.91884,             0.96446,             0.97704,             0.58058,            0.031467,            0.019533,           0.0072602,           0.0080695,           0.0080695,           0.0080695
                  41,            0.023852,            0.016751,           0.0019415,             0.96199,             0.95297,             0.98065,             0.58237,            0.030556,            0.019311,           0.0064643,             0.00802,             0.00802,             0.00802
                  42,            0.025094,            0.016699,           0.0034403,             0.95119,             0.93058,             0.95543,              0.5697,            0.031967,            0.020296,           0.0091014,           0.0079705,           0.0079705,           0.0079705
                  43,            0.025982,            0.016724,           0.0020191,             0.93092,             0.94581,             0.97104,             0.58188,            0.030741,            0.019749,            0.009101,            0.007921,            0.007921,            0.007921
                  44,            0.023664,            0.015998,           0.0017926,             0.94868,             0.92701,             0.96304,             0.60124,            0.030376,            0.021007,           0.0097242,           0.0078715,           0.0078715,           0.0078715
                  45,            0.024663,            0.016298,           0.0016956,             0.94872,             0.91391,             0.95983,             0.58618,            0.029791,            0.021596,           0.0079702,            0.007822,            0.007822,            0.007822
                  46,            0.025798,            0.016566,            0.002088,             0.93056,             0.93422,             0.96301,              0.5869,            0.031021,            0.020617,           0.0082332,           0.0077725,           0.0077725,           0.0077725
                  47,            0.024587,            0.016821,            0.002039,             0.93244,             0.93595,             0.96263,             0.59693,            0.030306,            0.019977,            0.011651,            0.007723,            0.007723,            0.007723
                  48,            0.024265,            0.015904,           0.0019378,             0.93515,             0.93704,             0.95728,             0.56714,            0.031722,            0.021087,            0.011043,           0.0076735,           0.0076735,           0.0076735
                  49,            0.023975,            0.015416,           0.0019516,             0.94331,             0.91523,             0.95512,             0.55336,            0.031833,            0.021292,            0.010921,            0.007624,            0.007624,            0.007624
                  50,            0.025648,             0.01643,           0.0014854,             0.94188,             0.94887,             0.97423,             0.59457,            0.030321,            0.020174,           0.0086952,           0.0075745,           0.0075745,           0.0075745
                  51,            0.023448,            0.018117,           0.0018393,             0.94112,              0.9543,             0.96528,             0.58649,            0.030856,            0.020054,           0.0081087,            0.007525,            0.007525,            0.007525
                  52,            0.022444,            0.015883,           0.0012852,             0.96173,             0.93495,             0.97832,             0.60596,            0.029235,            0.019869,            0.008586,           0.0074755,           0.0074755,           0.0074755
                  53,            0.021854,             0.01531,           0.0016355,             0.93617,             0.95643,             0.96885,             0.58576,            0.030414,            0.020727,           0.0090649,            0.007426,            0.007426,            0.007426
                  54,            0.023903,            0.015351,           0.0033841,             0.95975,             0.95096,             0.97075,             0.57569,            0.030928,            0.020542,           0.0078312,           0.0073765,           0.0073765,           0.0073765
                  55,             0.02204,            0.016179,           0.0018552,             0.96496,             0.94476,             0.97308,             0.59676,            0.030289,            0.020824,           0.0074419,            0.007327,            0.007327,            0.007327
                  56,            0.024033,            0.017165,           0.0023428,             0.94252,             0.93823,             0.95943,             0.58394,            0.031132,            0.020934,           0.0064665,           0.0072775,           0.0072775,           0.0072775
                  57,            0.023175,            0.015135,           0.0018908,             0.93995,             0.93801,             0.95493,             0.59443,            0.030101,            0.020375,            0.010079,            0.007228,            0.007228,            0.007228
                  58,            0.021812,            0.014843,           0.0016434,             0.93023,             0.94205,             0.95704,             0.58424,            0.030434,            0.020455,            0.011465,           0.0071785,           0.0071785,           0.0071785
                  59,            0.023393,            0.014922,           0.0032607,              0.9591,               0.936,             0.96972,             0.59568,            0.029821,            0.020296,           0.0078907,            0.007129,            0.007129,            0.007129
                  60,            0.021888,            0.015738,           0.0015273,             0.93179,             0.95162,             0.95942,              0.5715,            0.030769,            0.020677,           0.0078342,           0.0070795,           0.0070795,           0.0070795
                  61,            0.020754,             0.01574,           0.0017268,             0.95456,             0.93672,              0.9726,             0.60416,            0.030079,            0.020951,           0.0083162,             0.00703,             0.00703,             0.00703
                  62,            0.022612,            0.015594,           0.0017216,             0.93076,             0.95297,             0.97044,             0.59391,            0.030441,            0.021495,           0.0082765,           0.0069805,           0.0069805,           0.0069805
                  63,            0.021342,            0.015421,           0.0027762,             0.93321,             0.95893,             0.97285,             0.59652,            0.030274,             0.02093,           0.0070781,            0.006931,            0.006931,            0.006931
                  64,            0.021057,            0.014546,           0.0013267,             0.93749,             0.91375,             0.95135,             0.57639,             0.03149,            0.022439,           0.0094412,           0.0068815,           0.0068815,           0.0068815
                  65,            0.022106,            0.015006,           0.0014912,             0.92582,             0.96919,              0.9732,             0.59202,              0.0298,            0.021623,           0.0059609,            0.006832,            0.006832,            0.006832
                  66,            0.020051,            0.014701,           0.0015565,             0.93978,              0.9183,             0.96091,             0.58794,            0.030122,            0.022654,           0.0091408,           0.0067825,           0.0067825,           0.0067825
                  67,              0.0203,            0.015523,           0.0016743,             0.93421,             0.93515,             0.96021,              0.5824,            0.030263,            0.022497,           0.0090357,            0.006733,            0.006733,            0.006733
                  68,            0.019911,            0.014001,           0.0015289,             0.93097,             0.94261,              0.9621,             0.57887,             0.03123,            0.022886,           0.0092095,           0.0066835,           0.0066835,           0.0066835
                  69,            0.022441,            0.014328,           0.0012941,             0.94255,             0.95715,             0.97392,             0.58711,            0.029683,            0.021314,           0.0069226,            0.006634,            0.006634,            0.006634
                  70,            0.020848,            0.015018,           0.0012211,             0.94818,             0.92092,             0.96378,             0.58332,             0.03049,             0.02154,           0.0084637,           0.0065845,           0.0065845,           0.0065845
                  71,            0.019462,            0.015069,           0.0012981,             0.93559,             0.96539,             0.98037,             0.59786,            0.029612,             0.02121,           0.0084383,            0.006535,            0.006535,            0.006535
                  72,            0.019884,            0.015232,           0.0018043,             0.93917,             0.94467,             0.96823,             0.58706,             0.03013,            0.021638,           0.0094728,           0.0064855,           0.0064855,           0.0064855
                  73,            0.019142,            0.013547,           0.0011901,             0.93707,              0.9681,             0.98072,             0.60099,            0.029716,            0.021272,           0.0078946,            0.006436,            0.006436,            0.006436
                  74,            0.020011,            0.015385,            0.001399,             0.95353,             0.95051,             0.97902,             0.59621,            0.029914,            0.021067,           0.0067672,           0.0063865,           0.0063865,           0.0063865
                  75,            0.020186,            0.014479,           0.0019137,             0.94898,             0.94212,             0.97318,             0.57672,            0.030444,            0.021461,           0.0097211,            0.006337,            0.006337,            0.006337
                  76,            0.020807,            0.013778,           0.0012051,             0.92826,             0.95403,             0.96694,             0.58451,            0.029633,            0.021657,           0.0096622,           0.0062875,           0.0062875,           0.0062875
                  77,             0.02034,            0.014469,           0.0014532,             0.93805,             0.94975,             0.97035,              0.5927,            0.029197,             0.02213,           0.0098885,            0.006238,            0.006238,            0.006238
                  78,            0.018672,             0.01336,           0.0016933,             0.94929,             0.93523,             0.97434,             0.59046,            0.029522,               0.022,           0.0094543,           0.0061885,           0.0061885,           0.0061885
                  79,             0.01928,            0.013212,           0.0014755,             0.93147,             0.96023,             0.96916,             0.58465,             0.03037,             0.02179,           0.0094734,            0.006139,            0.006139,            0.006139
                  80,            0.018724,            0.013598,           0.0011218,             0.94446,             0.94577,             0.97458,             0.59012,            0.030182,            0.022272,           0.0084745,           0.0060895,           0.0060895,           0.0060895
                  81,             0.01965,             0.01419,           0.0016517,             0.93623,             0.94832,              0.9773,             0.58576,            0.030356,            0.021995,            0.009105,             0.00604,             0.00604,             0.00604
                  82,            0.018772,            0.013516,             0.00128,             0.95027,             0.94905,             0.97388,             0.59022,            0.029306,            0.021858,           0.0097805,           0.0059905,           0.0059905,           0.0059905
                  83,            0.018852,            0.012866,           0.0011958,             0.95501,             0.95299,              0.9717,             0.59545,            0.029469,            0.021743,            0.010301,            0.005941,            0.005941,            0.005941
                  84,            0.018841,            0.013882,           0.0011602,             0.95541,             0.95544,             0.97299,             0.58687,            0.029952,            0.022248,           0.0086182,           0.0058915,           0.0058915,           0.0058915
                  85,            0.019901,            0.013276,           0.0014962,             0.95939,             0.94439,             0.97164,             0.59587,            0.029669,            0.022181,           0.0075411,            0.005842,            0.005842,            0.005842
                  86,            0.019632,            0.014226,           0.0018359,             0.93503,             0.94354,             0.96449,             0.58498,            0.029825,            0.022802,            0.010302,           0.0057925,           0.0057925,           0.0057925
                  87,            0.017664,            0.012445,           0.0014308,             0.94568,             0.94031,             0.97253,             0.60022,            0.029479,            0.022663,           0.0087354,            0.005743,            0.005743,            0.005743
                  88,              0.0175,            0.012842,           0.0010315,              0.9535,             0.93768,              0.9711,             0.59743,            0.029667,            0.022426,           0.0084494,           0.0056935,           0.0056935,           0.0056935
                  89,            0.017017,            0.013089,           0.0020728,             0.94622,             0.93493,              0.9659,             0.59843,            0.029697,            0.022108,           0.0082597,            0.005644,            0.005644,            0.005644
                  90,            0.017338,            0.012795,           0.0010474,             0.94044,             0.94168,             0.96646,             0.60176,            0.029159,             0.02204,           0.0095095,           0.0055945,           0.0055945,           0.0055945
                  91,            0.017743,            0.012576,          0.00095088,             0.93415,             0.94911,             0.97163,             0.60169,            0.029631,            0.022533,           0.0062304,            0.005545,            0.005545,            0.005545
                  92,            0.016738,            0.012308,           0.0012121,             0.93034,             0.97695,             0.97655,              0.5965,             0.02943,            0.022212,           0.0058646,           0.0054955,           0.0054955,           0.0054955
                  93,            0.017824,            0.012647,           0.0011209,              0.9405,             0.96751,             0.98323,             0.60321,            0.029612,            0.023021,           0.0073499,            0.005446,            0.005446,            0.005446
                  94,            0.017015,            0.013301,           0.0013571,             0.94345,              0.9524,             0.98003,              0.6098,            0.029543,            0.023437,           0.0085503,           0.0053965,           0.0053965,           0.0053965
                  95,            0.016661,            0.012249,          0.00095803,               0.934,             0.95574,             0.97511,             0.61148,              0.0292,            0.023237,           0.0066373,            0.005347,            0.005347,            0.005347
                  96,              0.0168,             0.01317,           0.0022477,             0.93986,             0.94016,             0.97045,             0.60598,            0.029051,            0.023872,            0.007269,           0.0052975,           0.0052975,           0.0052975
                  97,            0.016895,            0.013816,           0.0014818,              0.9475,             0.94394,              0.9664,             0.59155,            0.029348,            0.023087,           0.0085352,            0.005248,            0.005248,            0.005248
                  98,            0.016799,            0.013126,           0.0013579,             0.92801,             0.95409,             0.96466,             0.59944,             0.02869,            0.022222,            0.010732,           0.0051985,           0.0051985,           0.0051985
                  99,            0.017648,             0.01404,          0.00099946,             0.93955,             0.94988,             0.97252,             0.60516,            0.029069,            0.022487,           0.0091781,            0.005149,            0.005149,            0.005149
                 100,            0.018243,            0.013325,          0.00080149,             0.93085,             0.96024,             0.97511,             0.60008,            0.029515,            0.021719,           0.0079538,           0.0050995,           0.0050995,           0.0050995
                 101,            0.017058,             0.01201,           0.0011864,             0.93206,             0.97241,             0.97815,             0.60932,            0.029084,            0.021553,            0.007901,             0.00505,             0.00505,             0.00505
                 102,            0.016712,            0.013238,           0.0013318,             0.94185,             0.95696,             0.97611,             0.60551,            0.029481,            0.022927,           0.0087402,           0.0050005,           0.0050005,           0.0050005
                 103,            0.016167,            0.012596,          0.00095249,             0.93958,             0.96493,              0.9791,              0.5953,            0.029505,              0.0236,           0.0077029,            0.004951,            0.004951,            0.004951
                 104,            0.016586,            0.011419,           0.0011163,             0.93114,             0.96722,             0.97131,             0.59815,              0.0295,            0.023759,           0.0076105,           0.0049015,           0.0049015,           0.0049015
                 105,            0.016182,            0.012967,           0.0009833,               0.932,             0.95443,             0.97556,             0.59924,            0.029259,            0.023224,           0.0074915,            0.004852,            0.004852,            0.004852
                 106,            0.015919,            0.013261,           0.0011731,             0.95534,             0.95933,             0.98074,             0.59832,            0.029304,            0.022916,           0.0079871,           0.0048025,           0.0048025,           0.0048025
                 107,            0.016131,            0.013014,           0.0010661,             0.93847,             0.95801,              0.9769,             0.59515,            0.029206,            0.023001,            0.008008,            0.004753,            0.004753,            0.004753
                 108,            0.016037,             0.01262,           0.0011427,             0.95255,             0.95251,             0.97572,             0.59412,            0.029435,            0.022371,           0.0081355,           0.0047035,           0.0047035,           0.0047035
                 109,            0.015766,            0.012128,          0.00098626,             0.94341,             0.95077,             0.97305,             0.59516,            0.029402,            0.022664,           0.0084689,            0.004654,            0.004654,            0.004654
                 110,            0.015154,            0.012007,          0.00091609,              0.9543,             0.94788,             0.96599,             0.59469,            0.029311,            0.023216,           0.0091374,           0.0046045,           0.0046045,           0.0046045
                 111,            0.016306,            0.012142,          0.00083044,             0.95168,             0.94854,              0.9636,             0.60542,            0.029232,            0.022366,           0.0082966,            0.004555,            0.004555,            0.004555
                 112,            0.015425,            0.011905,          0.00084403,             0.95281,             0.96223,             0.96932,             0.59925,            0.029216,            0.022795,           0.0084459,           0.0045055,           0.0045055,           0.0045055
                 113,             0.01543,            0.011737,           0.0007705,             0.94866,             0.95349,             0.96894,             0.59683,            0.029461,            0.023447,           0.0075433,            0.004456,            0.004456,            0.004456
                 114,            0.014331,            0.011516,          0.00083215,             0.92896,             0.97116,              0.9741,             0.60497,            0.029487,            0.023708,           0.0074225,           0.0044065,           0.0044065,           0.0044065
                 115,            0.015066,            0.011531,          0.00095688,             0.96146,             0.92757,             0.97081,              0.5971,            0.029409,            0.024548,           0.0076899,            0.004357,            0.004357,            0.004357
                 116,             0.01584,            0.012828,            0.001127,              0.9267,             0.96612,             0.96724,             0.59601,            0.029317,            0.024198,            0.010127,           0.0043075,           0.0043075,           0.0043075
                 117,            0.015575,            0.012404,          0.00083801,             0.95706,             0.94038,             0.96989,             0.59209,            0.029064,             0.02292,            0.010166,            0.004258,            0.004258,            0.004258
                 118,            0.014729,            0.011265,          0.00085714,             0.95565,             0.95248,             0.96781,             0.59503,            0.029234,            0.022958,           0.0085599,           0.0042085,           0.0042085,           0.0042085
                 119,            0.014668,            0.011597,           0.0008537,             0.95426,             0.95423,             0.97013,             0.59675,            0.029149,             0.02286,           0.0086119,            0.004159,            0.004159,            0.004159
                 120,            0.014117,            0.011269,          0.00079165,             0.94544,             0.94995,             0.97196,             0.60001,            0.029031,            0.023358,           0.0085849,           0.0041095,           0.0041095,           0.0041095
                 121,            0.015163,            0.011428,          0.00083823,             0.93235,             0.95848,             0.96951,             0.59268,            0.029285,            0.023503,           0.0090476,             0.00406,             0.00406,             0.00406
                 122,            0.014585,            0.011665,          0.00092022,              0.9444,              0.9499,             0.96829,             0.59681,            0.029029,            0.023125,           0.0082346,           0.0040105,           0.0040105,           0.0040105
                 123,            0.013973,            0.011534,           0.0009059,             0.96007,             0.92929,             0.97182,             0.59242,            0.029487,            0.023457,           0.0069208,            0.003961,            0.003961,            0.003961
                 124,            0.014641,            0.012195,           0.0013356,             0.94659,             0.95472,              0.9737,              0.6006,            0.029025,            0.023042,           0.0091208,           0.0039115,           0.0039115,           0.0039115
                 125,            0.014291,            0.011509,          0.00072514,             0.95389,             0.95361,              0.9744,             0.60283,            0.029037,            0.023665,           0.0075449,            0.003862,            0.003862,            0.003862
                 126,             0.01462,            0.012102,           0.0013526,             0.94457,             0.95945,             0.97322,             0.59732,            0.029131,            0.023976,           0.0091562,           0.0038125,           0.0038125,           0.0038125
                 127,             0.01424,            0.012006,           0.0007775,             0.94497,             0.95901,             0.97088,             0.59722,            0.029233,            0.024081,           0.0099723,            0.003763,            0.003763,            0.003763
                 128,            0.015027,             0.01177,           0.0042351,             0.95701,             0.94711,             0.97486,             0.59737,            0.029107,            0.024574,           0.0088373,           0.0037135,           0.0037135,           0.0037135
                 129,             0.01383,            0.011536,          0.00074954,             0.94594,             0.94361,             0.96658,              0.5942,            0.028962,            0.024544,           0.0098977,            0.003664,            0.003664,            0.003664
                 130,            0.013144,            0.011242,          0.00077889,             0.94621,             0.95922,             0.97264,             0.59974,            0.029168,            0.024852,           0.0096974,           0.0036145,           0.0036145,           0.0036145
                 131,            0.013045,            0.010975,          0.00079275,             0.95468,             0.93711,               0.972,              0.6105,            0.028902,            0.024642,            0.010511,            0.003565,            0.003565,            0.003565
                 132,            0.014572,            0.011206,          0.00090026,             0.94972,             0.94093,             0.96894,             0.60693,            0.029083,            0.025189,            0.010295,           0.0035155,           0.0035155,           0.0035155
                 133,            0.014276,             0.01184,          0.00092898,             0.95223,             0.94245,             0.96784,             0.61062,            0.028719,            0.024323,            0.010067,            0.003466,            0.003466,            0.003466
                 134,            0.012935,            0.011031,           0.0005651,             0.95504,             0.93343,              0.9685,             0.61154,            0.029038,            0.024473,           0.0093658,           0.0034165,           0.0034165,           0.0034165
                 135,            0.013719,            0.010899,          0.00079595,             0.95168,             0.94723,             0.97456,             0.60901,            0.028913,            0.025003,           0.0094571,            0.003367,            0.003367,            0.003367
                 136,            0.014006,            0.010128,          0.00073234,             0.95732,             0.93539,             0.97456,             0.60768,            0.028654,            0.025206,           0.0090477,           0.0033175,           0.0033175,           0.0033175
                 137,            0.013721,            0.010003,          0.00062939,             0.94392,             0.95253,              0.9749,             0.61048,             0.02888,            0.024883,           0.0082129,            0.003268,            0.003268,            0.003268
                 138,            0.014106,            0.011096,           0.0016621,             0.93707,             0.94815,             0.97257,             0.60903,             0.02882,            0.024787,           0.0089812,           0.0032185,           0.0032185,           0.0032185
                 139,            0.012666,            0.010135,          0.00087316,               0.937,             0.95718,             0.97587,             0.61835,            0.028467,            0.024407,           0.0090816,            0.003169,            0.003169,            0.003169
                 140,             0.01333,             0.01079,          0.00070011,             0.95744,             0.92725,             0.96894,             0.60643,            0.028767,            0.025411,           0.0096068,           0.0031195,           0.0031195,           0.0031195
                 141,            0.013388,            0.011237,          0.00068375,             0.95985,             0.93284,              0.9668,              0.6001,            0.029129,            0.025614,           0.0098376,             0.00307,             0.00307,             0.00307
                 142,            0.012678,           0.0097918,          0.00052128,             0.94806,             0.94595,             0.96897,             0.60793,            0.028958,            0.025527,           0.0093703,           0.0030205,           0.0030205,           0.0030205
                 143,            0.012942,             0.01042,          0.00061697,             0.95304,             0.95438,             0.97528,             0.60185,            0.028771,            0.025252,           0.0091134,            0.002971,            0.002971,            0.002971
                 144,            0.012629,           0.0097029,          0.00071295,             0.96357,             0.94714,             0.97062,              0.5997,            0.028876,            0.025086,           0.0095763,           0.0029215,           0.0029215,           0.0029215
                 145,            0.012348,            0.010423,          0.00050077,             0.95585,             0.95534,              0.9729,             0.60076,            0.028912,            0.024653,           0.0095469,            0.002872,            0.002872,            0.002872
                 146,            0.013715,            0.010436,          0.00054764,             0.94993,             0.95716,             0.97622,             0.61374,            0.028765,            0.025131,           0.0088946,           0.0028225,           0.0028225,           0.0028225
                 147,            0.012568,            0.010707,          0.00067887,             0.94137,             0.95862,             0.97466,             0.60878,            0.028343,            0.025027,            0.010442,            0.002773,            0.002773,            0.002773
                 148,            0.012725,            0.010158,            0.000554,             0.93754,             0.95936,             0.97005,             0.60535,            0.028769,            0.024901,           0.0094918,           0.0027235,           0.0027235,           0.0027235
                 149,            0.014032,            0.010209,          0.00052497,             0.94615,             0.95189,             0.97014,             0.61173,            0.028589,            0.025147,           0.0094342,            0.002674,            0.002674,            0.002674
                 150,            0.012377,            0.010348,           0.0006412,             0.94285,             0.95713,             0.97327,             0.60913,            0.028749,            0.025843,           0.0094992,           0.0026245,           0.0026245,           0.0026245
                 151,            0.012421,           0.0095661,          0.00056084,             0.95171,             0.95249,             0.97469,             0.61206,            0.028628,            0.025796,           0.0094616,            0.002575,            0.002575,            0.002575
                 152,            0.011847,           0.0098529,          0.00064634,             0.95216,             0.94971,             0.97022,             0.60375,            0.028475,            0.025715,            0.010225,           0.0025255,           0.0025255,           0.0025255
                 153,            0.011778,            0.010316,          0.00053001,             0.95498,             0.95004,             0.97328,             0.61137,             0.02835,            0.025299,           0.0091535,            0.002476,            0.002476,            0.002476
                 154,            0.011849,            0.010204,           0.0030096,             0.95383,             0.95633,             0.96958,             0.60515,            0.028571,            0.025502,           0.0094519,           0.0024265,           0.0024265,           0.0024265
